ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,AADT,AADT_YEAR,GIS_ID,OBJECTID,SHAPE,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPELEN
11000102,2688.2,2710.1,2023/01/01 05:00:00+00,,{62EA5D86-C9CF-4DAC-8C03-BCA90F01DC6B},9537,2023,,377641,,{50C6A5E8-5EA7-4112-BC01-5B461EC3DF4B},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2710.1,2772.1,2023/01/01 05:00:00+00,,{EB23353E-74DC-4EC9-8CED-1437AB08A507},4091,2023,,377642,,{CF4CCB80-1C13-47D5-B827-4779E7B79B6A},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2772.1,2851.6,2023/01/01 05:00:00+00,,{38A78655-AB07-49EF-B1D9-08393F21EDFB},4091,2023,,377643,,{99CDC9C2-A02F-434B-B785-E0194CC4C4E0},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2851.6,2974.8,2023/01/01 05:00:00+00,,{94350EED-6079-4A49-802B-9170EC284E13},4091,2023,,377644,,{BD9F9D06-D874-469F-A155-B8346488DC05},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2974.8,3093.3,2023/01/01 05:00:00+00,,{BF7EC3F6-EC3A-48CB-BB72-938FCF41F5A4},4091,2023,,377645,,{1362333F-5FC0-49D5-845A-B28C11377FC0},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,3093.3,3210.4,2023/01/01 05:00:00+00,,{4997E0C5-EAAB-4C66-AB23-39D372C6E469},4091,2023,,377646,,{169A7E7B-9462-4D59-AE31-25099741DA94},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,3210.4,3329.7,2023/01/01 05:00:00+00,,{B0687978-5323-4A87-9CD2-F2E6F883B6E0},4091,2023,,377647,,{BD0627DC-D886-4411-A7DD-9AD69C9A1E7F},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,3329.7,3448.2,2023/01/01 05:00:00+00,,{2F7698CB-A359-425A-BC06-4EF9C1BD8480},4091,2023,,377648,,{7D951703-83C9-4038-90CC-DF9A96E80ABF},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,3448.2,3566.5,2023/01/01 05:00:00+00,,{B6BCE6B9-3D86-4550-B793-6B06F33BDF58},4091,2023,,377649,,{F0C72C2D-EE83-42C2-8D65-C196BB84982E},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,3566.5,3882,2023/01/01 05:00:00+00,,{DA0BB1FD-DE40-4C0F-88BC-394E66444010},4091,2023,,377650,,{0C233DC2-6BBD-44AF-8761-189C4EDEAD84},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,3882,4021.9,2023/01/01 05:00:00+00,,{E9F9DEBB-B61E-4058-B97E-AE260A3AC8E4},4091,2023,,377651,,{C51098A1-2F58-494E-9C3D-83030860DB5A},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,4021.9,4178.5,2023/01/01 05:00:00+00,,{90110356-9FC9-4034-B4B2-06EC4E517BA6},4091,2023,,377652,,{CEF0E883-3272-47BE-B523-29DD48A16222},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,4178.5,4304,2023/01/01 05:00:00+00,,{945FFC39-62A6-40B7-BA1E-87FD3E5DBD0D},4091,2023,,377653,,{BDB72229-4756-42C0-85F6-6261953F8463},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,4304,4432.2895,2023/01/01 05:00:00+00,,{4D5803A2-0AE6-4A47-9AA3-5F4E2E12D367},4091,2023,,377654,,{BBD6B114-9B86-4306-839A-196ED22F4B32},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
